,title,star,location,adv,coupon,score,price_pre,price_after,recommend,crawler_time
0,泊客青旅(PARK HOSTEL)碩瀚行旅 (PARK HOSTEL), star,"台北車站, 台北市 ",,,7.3,900,210,,Tue Sep 21 17:36:54 2021
1,Simon pleasure Culture Travel Kaifeng Museum,2 star,"台北車站, 台北市 ",,,,親愛的，你慢了一步,,,Tue Sep 21 17:36:54 2021
2,卡夫人背包客棧 台北車站青年館 (Cavemen Hostel Taipei Station Youth Branch),2 star,"台北車站, 台北市 ",,24小時限定優惠 已套用折扣碼24HOURSALE - 現減NT$ 13,8.6,"1,074",256,,Tue Sep 21 17:36:54 2021
3,天使青旅 台北西門 (Angels Hostel Taipei Ximen),2 star,"台北車站, 台北市 ",,,8.0,"1,153",259,人氣王 12小時前剛被預訂,Tue Sep 21 17:36:54 2021
4,這裡那裡青年旅店站前館 (Here There Hostel Taipei),2 star,"台北車站, 台北市 ",,24小時限定優惠 已套用折扣碼24HOURSALE - 現減NT$ 14,7.8,"1,269",267,人氣王 4小時前剛被預訂,Tue Sep 21 17:36:54 2021
5,睡覺盒子青年旅館 (SleepBox Hostel),2 star,"台北車站, 台北市 ",免費WiFi,,7.7,"1,179",272,,Tue Sep 21 17:36:54 2021
6,雅璞文旅 (Apause Inn), star,"台北車站, 台北市 ",早餐,,8.8,,336,價格比同區域其他住宿低 激推！91%的住客都給予好評,Tue Sep 21 17:36:54 2021
7,米尼旅店 (miniinn),3 star,"台北車站, 台北市 ",免費WiFi,,8.9,700,364,人氣王 7小時前剛被預訂 3星級住宿中最優惠的價格 激推！92%的住客都給予好評,Tue Sep 21 17:36:54 2021
8,台北北門窩泊旅 (Beimen Wow Poshtel),3 star,"台北車站, 台北市 ",早餐,24小時限定優惠 已套用折扣碼24HOURSALE - 現減NT$ 21,8.5,"1,200",377,,Tue Sep 21 17:36:54 2021
9,儷客旅店 - 台北車站館 (Click Hotel - Taipei Main station branch),3 star,"台北車站, 台北市 ",,,8.6,450,381,比當地平均價格還便宜10%,Tue Sep 21 17:36:54 2021
10,門埕青旅 (Old Door Hostel),2 star,"台北車站, 台北市 ",早餐,,9.4,633,390,激推！100%的住客都給予好評,Tue Sep 21 17:36:54 2021
